Period,Report Id,Company,Company number,Payments made in the reporting period,Average time to pay,% Invoices paid within 30 days,% Invoices paid between 31 and 60 days,% Invoices paid later than 60 days,% Invoices not paid within agreed terms,Shortest (or only) standard payment period,Longest standard payment period,Maximum contractual payment period,Payment terms have changed,Suppliers notified of changes,Participates in payment codes,E-Invoicing offered,Supply-chain financing offered,Policy covers charges for remaining on supplier list,Charges have been made for remaining on supplier list
2019 JUL - 2019 DEC,28117,AMEY LG LIMITED,03612746,True,34.0,49.0,45.0,6.0,32.0,14.0,60.0,60.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,25622,ARCONIC MANUFACTURING (GB) LIMITED,00633328,True,87.0,5.0,16.0,81.0,7.0,14.0,90.0,90.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,28715,PEARSON COLLEGE LIMITED,07967446,True,31.0,76.0,15.0,9.0,30.0,0.0,30.0,30.0,False,,True,True,True,False,False
2019 JUL - 2019 DEC,25581,ELECTROLUX PLC,02331516,True,40.0,45.0,39.0,15.0,81.0,60.0,,165.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,28719,PEARSON SHARED SERVICES LIMITED,04623186,True,34.0,80.0,8.0,12.0,63.0,0.0,45.0,45.0,False,,True,True,True,False,False
2019 JUL - 2019 DEC,25168,SEALED AIR LIMITED,03443946,True,77.0,20.0,0.0,80.0,28.0,90.0,149.0,149.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,25244,NEWLAND HOMES LIMITED,02582221,True,34.0,43.0,54.0,3.0,23.0,14.0,61.0,61.0,False,,False,False,True,False,False
2019 JUL - 2019 DEC,69329,OPEN TEXT UK LIMITED,03148093,True,35.0,53.0,31.0,17.0,27.0,60.0,,90.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,62889,AVON COSMETICS LIMITED,00592235,True,46.0,31.0,43.0,25.0,98.0,60.0,,120.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,25299,BRITISH ENERGY LIMITED,SC162273,True,52.0,6.0,89.0,5.0,9.0,60.0,,60.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,25342,NESTLE UK LTD.,00051491,True,51.0,19.0,60.0,21.0,12.0,60.0,,180.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,25368,NESPRESSO UK LTD,00156925,True,60.0,39.0,50.0,11.0,13.0,60.0,,180.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,25373,NESTLE PURINA UK MANUFACTURING OPERATIONS LIMITED,00121700,True,52.0,24.0,52.0,24.0,11.0,60.0,,180.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,50016,AMAZON WEB SERVICES UK LIMITED,08650665,True,66.0,11.0,81.0,8.0,7.0,60.0,,60.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,25376,NESTLÉ WATERS UK LIMITED,02334804,True,44.0,26.0,67.0,7.0,18.0,60.0,,180.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,46450,WALNEY (UK) OFFSHORE WINDFARMS LIMITED,05246622,True,25.0,80.0,12.0,8.0,15.0,30.0,60.0,60.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,46440,ORSTED POWER (UK) LIMITED,04984787,True,55.0,30.0,54.0,16.0,29.0,30.0,60.0,60.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,46429,LINCS WIND FARM LIMITED,SC213646,True,22.0,85.0,12.0,3.0,12.0,30.0,60.0,60.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,46409,ORSTED LONDON ARRAY II LIMITED,06638251,True,19.0,100.0,0.0,0.0,17.0,30.0,60.0,60.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,25407,VIVIENNE WESTWOOD LIMITED,02682271,True,28.0,73.0,10.0,17.0,22.0,1.0,120.0,120.0,False,,False,False,True,False,False
2019 JUL - 2019 DEC,25085,ROCHE DIAGNOSTICS LIMITED,00571546,True,34.0,67.0,22.0,11.0,36.0,0.0,60.0,90.0,True,True,False,False,True,False,False
2019 JUL - 2019 DEC,43180,PARK HOLIDAYS UK LIMITED,02434151,True,33.0,43.0,56.0,1.0,0.0,14.0,,60.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,25017,GARTNER U.K. LIMITED,02266016,True,11.0,91.0,8.0,1.0,9.0,10.0,60.0,90.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,24989,AMG SUPERALLOYS UK LIMITED,00345279,True,46.0,27.0,47.0,26.0,4.0,45.0,90.0,90.0,False,,False,False,True,False,False
2019 JUL - 2019 DEC,41473,CEMEX UK OPERATIONS LIMITED,00658390,True,44.0,41.0,37.0,22.0,70.0,0.0,124.0,124.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,31879,AGGREKO UK LIMITED,SC051093,True,51.0,26.0,39.0,35.0,37.0,14.0,90.0,90.0,False,,False,False,True,False,False
2019 JUL - 2019 DEC,34742,LYRECO UK LIMITED,00442696,True,57.0,19.0,42.0,38.0,1.0,55.0,130.0,145.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,35981,WESTERMOST ROUGH LIMITED,06232914,True,22.0,81.0,17.0,2.0,3.0,30.0,60.0,60.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,24769,ROUTECO LIMITED,01268846,True,46.0,29.0,52.0,19.0,28.0,7.0,90.0,90.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,36222,DIVERSEY LIMITED,03459907,True,96.0,11.0,19.0,70.0,64.0,30.0,120.0,120.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,24822,PROCTER & GAMBLE PRODUCT SUPPLY (U.K.) LIMITED,03074536,True,67.0,18.0,26.0,55.0,14.0,75.0,,90.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,24824,PROCTER & GAMBLE TECHNICAL CENTRES LIMITED,03281294,True,56.0,21.0,49.0,30.0,17.0,75.0,,75.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,24825,GILLETTE U.K. LIMITED,00254912,True,56.0,14.0,66.0,20.0,8.0,75.0,,90.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,24847,ORTHO-CLINICAL DIAGNOSTICS,02549777,True,40.0,33.0,62.0,5.0,53.0,60.0,,180.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,24876,XYLEM WATER SOLUTIONS UK LTD,00479504,True,37.0,47.0,39.0,14.0,40.0,15.0,90.0,120.0,False,,False,False,True,False,False
2019 JUL - 2019 DEC,24928,COBALT GROUND SOLUTIONS LIMITED,03039046,True,33.0,36.0,58.0,6.0,0.0,30.0,,30.0,False,,False,True,True,False,False
2019 JUL - 2019 DEC,24935,O-I GLASS LIMITED,00526983,True,55.0,3.0,96.0,1.0,91.0,30.0,60.0,60.0,False,,False,False,True,False,False
2019 JUL - 2019 DEC,24967,LENZING FIBERS GRIMSBY LIMITED,05709148,True,35.0,42.0,56.0,2.0,11.0,0.0,60.0,60.0,False,,False,False,True,False,False
